Country_Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot_Cases_1M_pop,Deaths_1M_pop,TotalTests,Tests_1M_pop,WHO_Region,Cases_Per_Million_Calculated,Deaths_Per_Million_Calculated,Test_Positivity_Rate,Serious_Cases_Pct,Recovery_Rate_Pct
Jordan,Asia,10213138.0,1232,,11.0,,1171.0,,50.0,3.0,121.0,1.0,628745.0,61562.0,EasternMediterranean,120.63,1.08,0.2,6.0,95.05
Liberia,Africa,5068618.0,1224,,78.0,,705.0,,441.0,,241.0,15.0,,,Africa,241.49,15.39,,,57.6
Uganda,Africa,45867852.0,1223,,5.0,,1102.0,,116.0,,27.0,0.1,288367.0,6287.0,Africa,26.66,0.11,0.42,,90.11
Cyprus,Asia,1208238.0,1208,,19.0,,856.0,,333.0,,1000.0,16.0,216597.0,179267.0,Europe,999.8,15.73,0.56,,70.86
Georgia,Asia,3988368.0,1206,,17.0,,987.0,,202.0,,302.0,4.0,240473.0,60294.0,Europe,302.38,4.26,0.5,,81.84
Burkina Faso,Africa,20954852.0,1158,,54.0,,961.0,,143.0,,55.0,3.0,,,Africa,55.26,2.58,,,82.99
Niger,Africa,24281433.0,1153,,69.0,,1057.0,,27.0,,47.0,3.0,9052.0,373.0,Africa,47.48,2.84,12.74,,91.67
Togo,Africa,8296582.0,1012,,22.0,,697.0,,293.0,2.0,122.0,3.0,45767.0,5516.0,Africa,121.98,2.65,2.21,0.68,68.87
Syria,Asia,17539600.0,999,,48.0,,311.0,,640.0,,57.0,3.0,,,EasternMediterranean,56.96,2.74,,,31.13
Jamaica,North America,2962478.0,958,30.0,12.0,,745.0,,201.0,,323.0,4.0,41840.0,14123.0,Americas,323.38,4.05,2.29,,77.77
Malta,Europe,441663.0,946,,9.0,,670.0,,267.0,,2142.0,20.0,136713.0,309541.0,Europe,2141.9,20.38,0.69,,70.82
Andorra,Europe,77278.0,944,,52.0,,828.0,,64.0,1.0,12216.0,673.0,3750.0,48526.0,Europe,12215.64,672.9,25.17,1.56,87.71
Chad,Africa,16467965.0,942,,76.0,,838.0,,28.0,,57.0,5.0,,,Africa,57.2,4.62,,,88.96
Gambia,Africa,2422754.0,935,,16.0,,136.0,,783.0,,386.0,7.0,5183.0,2139.0,Africa,385.92,6.6,18.04,,14.55
Sao Tome and Principe,Africa,219544.0,878,,15.0,,797.0,,66.0,,3999.0,68.0,3079.0,14025.0,Africa,3999.2,68.32,28.52,,90.77
Botswana,Africa,2356075.0,804,,2.0,,63.0,,739.0,1.0,341.0,0.8,68423.0,29041.0,Africa,341.25,0.85,1.18,0.14,7.84
Bahamas,North America,393616.0,761,,14.0,,91.0,,656.0,1.0,1933.0,36.0,4814.0,12230.0,Americas,1933.36,35.57,15.81,0.15,11.96
Vietnam,Asia,97425470.0,747,,10.0,,392.0,,345.0,,8.0,0.1,482456.0,4952.0,WesternPacific,7.67,0.1,0.15,,52.48
Lesotho,Africa,2143943.0,742,,23.0,,175.0,,544.0,,346.0,11.0,8771.0,4091.0,Africa,346.09,10.73,8.46,,23.58
Diamond Princess,,,712,,13.0,,651.0,,48.0,4.0,,,,,,,,,8.33,91.43
San Marino,Europe,33938.0,699,,42.0,,657.0,,0.0,,20596.0,1238.0,6068.0,178797.0,Europe,20596.38,1237.55,11.52,,93.99
Réunion,Africa,895952.0,671,,5.0,,592.0,,74.0,3.0,749.0,6.0,35419.0,39532.0,,748.92,5.58,1.89,4.05,88.23
